SAMPLE_ID,FWD_BARCODE,REV_BARCODE
B43.1a,NB01,NB21
B43.1b,NB01,NB22
B43.1c,NB01,NB23
B43.2a,NB02,NB21
B43.2b,NB02,NB22
B43.2c,NB02,NB23
B43.3a,NB04,NB21
B43.3b,NB04,NB22
B43.3c,NB04,NB23
B43.4a,NB05,NB21
B43.4b,NB05,NB22
B43.4c,NB05,NB23
B43.C.GBC,NB25,NB25
B43.C.GAC,NB13,NB24
B44.1a,NB01,NB07
B44.1b,NB01,NB08
B44.1c,NB01,NB09
B44.2a,NB02,NB07
B44.2b,NB02,NB08
B44.2c,NB02,NB09
B44.3a,NB04,NB07
B44.3b,NB04,NB08
B44.3c,NB04,NB09
B44.4a,NB05,NB07
B44.4b,NB05,NB08
B44.4c,NB05,NB09
B44.C.GBT,NB28,NB28
B44.C.GAT,NB05,NB10
